year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2008,VT,50,37776,75778,184402,48592,71230,187314,141,1882,2221,132,1739,1644,277,1647,3305,324,1857,3890,624151
2008,WA,53,317063,733725,1733639,394617,695353,1702921,6860,57479,92345,7698,53880,76286,20976,104377,202605,30279,101455,230673,6562231
2008,WI,55,313189,655278,1544759,413197,622994,1510784,8261,79563,99699,12277,76701,105497,3765,38415,55799,5173,38239,57406,5640996
2008,WV,54,122503,212275,525271,161272,202326,529945,2515,11417,22551,4097,10369,17887,720,2303,5844,807,2203,6005,1840310
2008,WY,56,30100,71039,163230,35095,66175,153418,151,1464,2091,178,1276,1342,499,3804,5683,655,3840,6003,546043
2009,AK,02,20537,68437,172968,20426,63768,153731,548,6359,9364,658,5955,7689,4647,32421,46612,6063,30418,48294,698895
2009,AL,01,226963,431770,1010354,300143,410021,1009951,44372,206278,342011,71714,202231,404641,2556,14469,31006,3293,14190,31975,4757938
2009,AR,05,163745,312213,690358,209470,295896,689900,14639,81152,124148,22808,79605,139855,1730,11879,21966,2191,11756,23532,2896843
2009,AZ,04,368074,768395,1578650,438232,733063,1577633,7926,59938,92259,9830,55697,82370,15241,101493,161270,21143,99298,172642,6343154
2009,CA,06,1446550,4081861,8583504,1871467,3878243,8285885,96719,442803,789049,135404,423298,804451,262561,832081,1843026,351792,792774,2039761,36961229
2009,CO,08,222929,612527,1409300,280713,577851,1375245,6605,44272,74175,8543,41605,64109,6515,39750,75412,9075,40805,82764,4972195
2009,CT,09,193076,376649,886584,266758,356944,905833,12213,71070,112239,19215,67760,127400,4172,24391,52634,5031,24644,55194,3561807
